Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.58     0.00   200200     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (Diagnostics::*)(), &Diagnostics::updateDiagnostics, 2u>, void (unsigned int const&, double&), Diagnostics* const>::manager<Diagnostics::updateDiagnostics()::{lambda(unsigned int const&, double&)#2}>::do_call(void*, unsigned int const&, double&)
  0.00      0.58     0.00   200200     0.00     0.00  IdealGasEos::soundSpeed(double) const
  0.00      0.58     0.00   200200     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (Diagnostics::*)(), &Diagnostics::updateDiagnostics, 1u>, void (unsigned int const&, double&), Diagnostics* const>::operator()(unsigned int const&, double&) const
  0.00      0.58     0.00   200200     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (Diagnostics::*)(), &Diagnostics::updateDiagnostics, 2u>, void (unsigned int const&, double&), Diagnostics* const>::operator()(unsigned int const&, double&) const
  0.00      0.58     0.00   200200     0.00     0.00  Particle::calculateIE() const
  0.00      0.58     0.00   200200     0.00     0.00  Particle::calculateKE() const
  0.00      0.58     0.00   200200     0.00     0.00  Diagnostics::updateDiagnostics()::{lambda(unsigned int const&, double&)#2}::operator()(unsigned int const&, double&) const
  0.00      0.58     0.00   200200     0.00     0.00  Diagnostics::updateDiagnostics()::{lambda(unsigned int const&, double&)#1}::operator()(unsigned int const&, double&) const
  0.00      0.58     0.00   200200     0.00     0.00  operator<<(std::ostream&, Particle const&)
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(double), &SPH::advanceParticles, 2u>, void (unsigned int const&), SPH* const, double const, double const>::manager<SPH::advanceParticles(double)::{lambda(unsigned int const&)#2}>::do_call(void*, unsigned int const&)
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::sumDensity, 3u>, void (unsigned int const&), SPH* const, vec3<double>, double>::manager<SPH::sumDensity()::{lambda(unsigned int const&)#3}>::do_call(void*, unsigned int const&)
  0.00      0.58     0.00   200100     0.00     0.00  __nv_hdl_wrapper_t<false, false, __nv_dl_tag<void (SPH::*)(), &SPH::updateHsml, 1u>, void (unsigned int const&), SPH* const>::manager<SPH::updateHsml()::{lambda(unsigned int const&)#1}>::do_call(void*, unsigned int const&)
